ItemID,User 1,User 2,User 3,User 4,User 5
50,0.517,0.444,0.375,0.556,0.56
51,0.517,0.444,0.375,0.579,0.5
52,0.484,0.464,0.364,0.524,0.519
53,0.462,0.429,0.372,0.632,0.481
54,0.375,0.35,0.35,0.5,0.375
55,0.167,0.158,0.167,0.19,0.167
56,0.167,0.158,0.167,0.188,0.12
57,0.6,0.594,0.556,0.588,0.588
58,0.559,0.548,0.558,0.594,0.594
59,0.552,0.568,0.571,0.613,0.562
60,0.552,0.568,0.571,0.613,0.562
61,0.304,0.263,0.278,0.5,0.25
62,0.167,0.158,0.167,0.188,0.12
63,0.609,0.571,0.5,0.565,0.56
64,0.591,0.632,0.55,0.619,0.542
65,0.167,0.158,0.167,0.19,0.167
66,0.577,0.542,0.48,0.6,0.593
67,0.577,0.542,0.48,0.538,0.536
68,0.577,0.542,0.48,0.538,0.536
69,0.182,0.167,0.167,0.267,0.217
70,Visited,0.69,0.536,0.529,0.531
71,Visited,0.769,0.538,0.581,0.586
72,Visited,0.769,0.538,0.581,0.586
73,Visited,0.72,0.48,0.6,0.654
74,Visited,0.72,0.48,0.538,0.593
75,Visited,0.64,0.522,0.652,0.708
76,Visited,0.667,0.545,0.609,0.6
77,0.688,0.581,0.447,0.529,0.531
78,0.517,0.56,0.455,0.565,0.5
79,0.536,0.52,0.476,0.522,0.462
80,0.5,0.429,0.435,0.483,0.517
81,0.677,0.621,0.481,Visited,Visited
82,0.677,0.621,0.5,Visited,Visited
83,0.733,0.621,0.5,Visited,Visited
84,0.733,0.621,0.5,Visited,Visited
85,0.7,0.586,0.5,Visited,Visited
86,0.333,0.28,0.3,Visited,Visited
87,0.667,0.667,0.52,Visited,Visited
88,0.167,0.158,0.167,Visited,Visited
89,0.167,0.158,0.167,Visited,Visited
90,0.571,0.538,0.477,0.593,0.562
91,0.593,0.56,0.455,0.615,0.581
92,0.593,0.56,0.455,0.68,0.633
93,0.593,0.56,0.455,0.68,0.633
94,0.615,0.583,0.465,0.64,0.6
95,0.276,0.24,0.244,0.333,0.25
96,0.594,0.538,0.481,0.581,0.643
97,0.594,0.538,0.512,0.531,0.586
98,0.594,0.538,0.481,0.531,0.586
99,0.562,0.625,0.5,0.548,0.6
100,0.357,0.267,0.239,0.318,0.242
101,0.31,0.267,0.267,0.261,0.242
102,0.538,0.565,0.5,0.5,0.5
103,0.548,0.517,0.483,0.606,0.606
104,0.552,0.519,0.467,0.667,0.613
105,0.552,0.567,0.5,0.724,0.613
106,0.593,0.56,0.462,0.655,0.655
107,0.208,0.15,0.158,0.25,0.16
108,0.458,0.476,0.409,0.474,0.429
109,0.52,0.52,0.455,0.464,0.462
110,0.435,0.458,0.45,0.444,0.462
111,0.435,0.4,0.45,0.444,0.407
112,0.435,0.4,0.45,0.529,0.407
113,0.435,0.45,0.4,0.524,0.458
114,0.435,0.4,0.4,0.462,0.591
115,0.435,0.4,0.4,0.529,0.522
116,0.435,0.4,0.4,0.444,0.522
117,0.208,0.211,0.211,0.25,0.208
118,0.538,0.565,0.591,0.667,0.704
119,0.538,0.565,0.591,0.607,0.643
120,0.208,0.211,0.211,0.25,0.16
121,0.167,0.158,0.167,0.188,0.12
122,0.559,0.5,0.464,0.645,Visited
123,0.588,0.485,0.448,0.677,Visited
124,0.559,0.455,0.464,0.7,Visited
125,0.545,0.481,0.5,0.633,Visited
126,0.536,0.5,0.52,0.6,Visited
127,0.556,0.52,0.542,0.621,Visited
128,0.208,0.211,0.211,0.25,Visited
129,0.208,0.211,0.211,0.25,Visited
130,0.387,0.524,0.409,0.4,0.462
131,0.346,0.346,0.333,0.368,0.4
132,0.28,0.28,0.3,0.278,0.28
133,0.5,0.524,0.476,0.522,0.652
134,0.381,0.389,0.412,0.571,0.348
135,0.167,0.158,0.167,0.188,0.12
136,0.643,0.577,0.4,0.692,0.708
137,0.643,0.577,0.4,0.692,0.708
138,0.586,0.577,0.4,0.571,0.577
139,0.607,0.6,0.417,0.632,0.6
140,0.774,0.613,0.605,0.767,0.656
141,0.167,0.158,0.235,0.188,0.12
142,0.167,0.158,0.167,0.188,0.12
143,0.643,0.591,0.545,0.76,0.64
144,0.643,0.591,0.545,0.692,0.63
145,0.607,0.619,0.571,0.654,0.654
146,0.697,0.594,0.489,0.543,0.5
147,0.667,0.562,0.468,0.559,0.562
148,0.667,0.562,0.5,0.559,0.515
149,0.636,0.536,0.511,0.486,0.486
150,0.619,0.565,0.5,0.588,0.5
151,0.545,0.5,0.429,0.5,0.5
152,0.5,0.522,0.333,Visited,0.522
153,0.5,0.458,0.381,Visited,0.458
154,0.571,0.458,0.45,Visited,0.407
155,0.571,0.458,0.45,Visited,0.407
156,0.609,0.65,0.6,0.636,0.56
157,0.25,0.368,0.389,0.318,0.25
158,0.208,0.316,0.333,0.333,0.25
159,Visited,0.357,0.348,0.381,0.407
160,Visited,0.571,0.432,0.516,0.517
161,Visited,0.519,0.4,0.517,0.517
162,Visited,0.391,0.348,0.45,0.367
163,Visited,0.292,0.304,0.333,0.276
164,Visited,0.421,0.444,0.333,0.286
165,Visited,0.158,0.167,0.19,0.167
166,0.435,0.45,0.45,0.524,0.591
167,0.357,0.35,0.35,0.5,0.435
168,0.393,0.4,0.4,0.476,0.545
169,0.476,0.5,0.5,0.5,0.435
170,0.167,0.158,0.167,0.19,0.167
171,0.4,0.321,0.25,0.429,0.464
172,0.4,0.321,0.25,0.4,0.414
173,0.167,0.158,0.167,0.19,0.167
174,0.478,0.5,0.45,0.5,0.429
175,0.478,0.5,0.45,0.5,0.429
176,0.478,0.5,0.45,0.5,0.429
177,0.478,0.5,0.45,0.5,0.429
178,0.5,0.526,0.474,0.524,0.407
179,0.512,0.549,0.551,0.579,0.579
180,0.487,0.562,0.565,0.6,0.6
181,0.576,0.469,0.467,0.667,0.613
182,0.333,0.259,0.293,0.471,0.37
183,0.167,0.158,0.167,0.188,0.12
184,0.167,0.158,0.167,0.19,0.167
185,0.167,0.158,0.167,0.188,0.12
186,0.6,0.667,0.5,0.593,0.6
187,0.56,0.625,0.524,0.5,0.56
188,0.579,0.618,0.542,0.568,0.528
189,0.686,0.588,0.587,0.5,0.5
190,0.657,0.606,0.565,0.556,0.514
191,0.629,0.677,0.543,0.618,0.529
192,0.618,0.613,0.568,0.514,0.515
193,0.577,0.542,0.48,0.667,0.536
194,0.577,0.542,0.512,0.6,0.484
195,0.577,0.542,0.48,0.667,0.536
196,0.167,0.158,0.167,0.19,0.167
197,0.545,0.5,0.364,0.588,0.5
198,0.545,0.5,0.364,0.588,0.5
199,0.697,0.7,0.556,0.636,0.588
200,0.767,0.714,0.556,0.545,0.545
201,0.586,0.577,0.545,0.52,0.519
202,0.767,0.714,0.558,0.594,0.545
203,0.742,0.75,0.545,0.529,0.529
204,0.7,0.704,0.585,0.581,0.531
205,0.759,0.769,0.538,0.581,0.531
206,0.759,0.769,0.6,0.633,0.533
207,0.759,0.769,0.6,0.581,0.531
208,0.759,0.769,0.6,0.581,0.531
209,0.724,0.731,0.56,0.6,0.5
210,0.7,0.643,0.6,0.633,0.581
211,0.656,0.548,0.489,0.545,0.5
212,0.562,0.5,0.5,0.548,0.5
213,0.594,0.484,0.481,0.633,0.531
214,0.548,0.542,0.48,0.586,0.567
215,0.515,0.56,0.5,0.548,0.548
216,0.548,0.542,0.542,0.533,0.484
217,0.538,0.565,0.5,0.571,0.5
218,0.469,0.565,0.44,0.5,0.484
219,0.167,0.158,0.167,0.188,0.12
220,0.167,0.158,0.167,0.188,0.12
221,0.167,0.158,0.167,0.188,0.12
222,0.519,0.536,0.423,0.484,0.484
223,0.333,0.333,0.333,0.5,0.364
224,0.542,0.65,0.571,0.5,0.5
225,0.565,0.6,0.55,0.522,0.52
226,0.565,0.6,0.55,0.464,0.464
227,0.542,0.571,0.571,0.5,0.5
228,0.565,0.6,0.684,0.464,0.464
229,0.583,0.6,0.571,0.72,0.593
230,0.583,0.6,0.571,0.72,0.593
231,0.538,0.636,0.636,0.5,0.5
232,0.56,0.591,0.667,0.571,0.5
233,0.56,0.591,0.667,0.571,0.5
234,0.56,0.591,0.667,0.571,0.5
235,0.56,0.591,0.667,0.517,0.467
236,0.167,0.158,0.167,0.19,0.167
237,0.357,0.375,0.421,0.333,0.286
238,0.273,0.263,0.333,0.286,0.25
239,0.286,0.292,0.389,0.259,0.214
240,0.136,0.167,0.167,0.2,0.125
241,0.571,0.611,0.474,0.455,0.458
242,0.524,0.647,0.474,0.55,0.478
243,0.677,0.679,0.577,0.562,0.515
244,0.645,0.643,0.538,0.581,0.533
245,0.645,0.643,0.538,0.581,0.533
246,0.613,0.625,0.524,0.5,0.5
247,0.167,0.158,0.167,0.19,0.167
248,0.167,0.158,0.167,0.267,0.12
249,0.167,0.158,0.167,0.188,0.12
250,0.16,0.16,0.211,0.185,0.16
251,0.16,0.16,0.211,0.185,0.16
252,0.167,0.158,0.167,0.188,0.12
253,0.167,0.158,0.167,0.19,0.167
254,0.167,0.158,0.167,0.19,0.167
255,0.167,0.158,0.167,0.19,0.167
256,0.167,0.158,0.167,0.188,0.12
257,0.167,0.158,0.167,0.188,0.12
258,0.44,0.286,0.25,0.444,0.44
259,0.44,0.286,0.25,0.421,0.393
260,0.44,0.286,0.25,0.393,0.393
261,0.44,0.286,0.25,0.393,0.393
262,0.44,0.286,0.25,0.421,0.393
263,0.208,0.211,0.211,0.25,0.208
264,0.208,0.211,0.211,0.25,0.16
265,0.208,0.211,0.211,0.25,0.16
266,0.167,0.158,0.167,0.19,0.167
267,0.167,0.158,0.167,0.19,0.167
268,0.167,0.158,0.167,0.19,0.167
269,0.167,0.158,0.167,0.19,0.167
270,0.167,0.158,0.167,0.267,0.12
271,0.167,0.158,0.167,0.19,0.167
272,0.167,0.158,0.167,0.19,0.167
273,0.167,0.158,0.167,0.19,0.167
274,0.167,0.158,0.167,0.267,0.12
275,0.167,0.158,0.167,0.188,0.12
276,0.742,0.69,0.581,0.576,0.529
277,0.645,0.643,0.548,0.593,0.533
278,0.667,0.68,0.565,0.731,0.667
279,0.667,0.68,0.565,0.731,0.667
280,0.667,0.68,0.565,0.731,0.667
281,0.667,0.68,0.565,0.731,0.667
282,0.667,0.68,0.565,0.667,0.667
283,0.667,0.68,0.565,0.731,0.667
284,0.633,0.63,0.52,0.522,0.469
285,0.594,0.586,0.512,0.531,0.484
286,0.594,0.586,0.512,0.485,0.441
287,0.581,0.571,0.465,0.522,0.469
288,0.409,0.421,0.444,0.5,0.435
289,0.409,0.421,0.444,0.429,0.375
290,0.409,0.421,0.444,0.429,0.375
291,0.409,0.421,0.444,0.429,0.375
292,0.409,0.421,0.5,0.429,0.375
293,0.643,0.64,0.522,0.6,0.577
294,0.643,0.64,0.522,0.6,0.577
295,0.643,0.64,0.522,0.6,0.577
296,0.667,0.714,0.714,0.625,0.5
297,0.667,0.714,0.714,0.56,0.5
298,0.652,0.789,0.619,0.609,0.483
299,0.652,0.789,0.619,0.682,0.538
300,0.519,0.519,0.346,0.52,0.577
301,0.5,0.5,0.375,0.5,0.56
302,0.5,0.565,0.429,0.588,0.5
303,0.542,0.609,0.409,0.619,0.609
304,0.556,0.609,0.409,0.556,0.542
305,0.167,0.158,0.167,0.19,0.167
306,0.167,0.158,0.167,0.19,0.167
307,0.167,0.158,0.167,0.19,0.167
308,0.167,0.158,0.167,0.19,0.167
309,0.167,0.158,0.167,0.267,0.12
310,0.167,0.158,0.167,0.267,0.12
311,0.733,0.808,0.535,0.613,0.562
312,0.7,0.769,0.538,0.633,0.533
313,0.633,0.692,0.5,0.516,0.469
314,0.435,0.526,0.526,0.391,0.31
315,0.435,0.526,0.526,0.391,0.31
316,0.455,0.556,0.5,0.476,0.36
317,0.455,0.556,0.5,0.409,0.321
318,0.455,0.556,0.5,0.471,0.321
319,0.455,0.556,0.556,0.409,0.321
320,0.405,0.551,0.587,0.357,0.35
321,0.463,0.638,0.682,0.415,0.381
322,0.405,0.583,0.622,0.357,0.326
323,0.667,0.667,0.625,0.5,0.5
324,0.581,0.63,0.583,0.458,0.419
325,0.577,0.593,0.542,0.481,0.483
326,0.577,0.654,0.542,0.429,0.438
327,0.565,0.462,0.6,0.577,0.52
328,0.478,0.5,0.526,0.5,0.5
329,0.478,0.5,0.526,0.444,0.444
330,0.333,0.333,0.412,0.5,0.364
331,0.333,0.333,0.412,0.5,0.364
332,0.182,0.222,0.235,0.267,0.167
333,0.581,0.52,0.465,0.519,0.517
334,0.581,0.52,0.465,0.519,0.517
335,0.581,0.52,0.465,0.519,0.517
336,0.571,0.571,0.524,0.565,0.56
337,0.571,0.65,0.524,0.5,0.556
338,0.571,0.571,0.524,0.565,0.56
339,0.571,0.571,0.524,0.565,0.56
340,0.5,0.545,0.435,0.542,0.481
341,0.517,0.571,0.455,0.565,0.5
342,0.484,0.519,0.36,0.467,0.464
343,0.484,0.519,0.36,0.467,0.464
344,0.484,0.519,0.36,0.467,0.464
345,0.583,0.7,0.545,0.609,0.483
346,0.583,0.7,0.619,0.682,0.538
347,0.609,0.737,0.571,0.636,0.5
348,0.609,0.737,0.571,0.636,0.5
349,0.609,0.737,0.571,0.714,0.56
350,0.5,0.526,0.611,0.529,0.407
351,0.682,0.65,0.65,0.565,0.5
352,0.682,0.65,0.65,0.579,0.448
353,0.682,0.65,0.65,0.5,0.448
354,0.538,0.565,0.522,0.56,0.552
355,0.64,0.593,0.609,0.769,0.643
356,0.667,0.565,0.565,0.731,0.667
357,0.6,0.565,0.565,0.667,0.607
358,0.455,0.417,0.5,0.48,0.423
359,0.455,0.417,0.5,0.562,0.423
360,0.615,0.571,0.52,0.741,0.679
361,0.64,0.542,0.5,0.643,0.704
362,0.64,0.542,0.5,0.704,0.704
363,0.467,0.5,0.32,0.5,0.5
364,0.414,0.333,0.304,0.421,0.333
365,0.367,0.429,0.364,0.435,0.385
366,0.367,0.429,0.364,0.375,0.345
367,0.379,0.45,0.381,0.391,0.357
368,0.379,0.45,0.381,0.455,0.4
369,0.379,0.45,0.381,0.391,0.357
370,0.345,0.474,0.35,0.348,0.37
371,0.4,0.321,0.304,0.4,0.48
372,0.387,0.31,0.292,0.414,0.52
373,0.167,0.154,0.211,0.167,0.154
374,0.167,0.158,0.167,0.267,0.12
375,0.16,0.15,0.158,0.176,0.115
376,0.333,0.333,0.333,0.5,0.364
377,0.273,0.263,0.263,0.4,0.304
378,0.273,0.333,0.263,0.4,0.269
379,0.167,0.158,0.167,0.188,0.12
380,0.6,0.565,0.522,0.667,0.607
381,0.6,0.565,0.522,0.607,0.607
382,0.667,0.667,0.568,0.559,0.514
383,0.667,0.667,0.568,0.559,0.514
384,0.625,0.621,0.519,0.562,0.516
385,0.677,0.679,0.577,0.613,0.516
386,0.645,0.643,0.548,0.531,0.531
387,0.167,0.158,0.167,0.19,0.167
388,0.167,0.158,0.167,0.267,0.12
389,0.545,0.5,0.5,0.65,0.565
390,0.545,0.579,0.5,0.571,0.5
391,0.548,0.593,0.442,0.438,0.483
392,0.308,0.273,0.333,0.389,0.321
393,0.318,0.316,0.389,0.467,0.259
394,0.455,0.36,0.4,0.476,0.417
395,0.409,0.375,0.421,0.6,0.375
396,0.167,0.158,0.222,0.188,0.12
397,0.586,0.591,0.478,0.652,0.577
398,0.586,0.591,0.478,0.652,0.577
399,0.586,0.591,0.478,0.583,0.519
400,0.227,0.211,0.222,0.333,0.261
401,0.227,0.211,0.222,0.429,0.208
402,0.727,0.7,0.619,0.682,0.6
403,0.636,0.778,0.632,0.591,0.52
404,0.667,0.714,0.636,0.56,0.552
405,0.667,0.636,0.714,0.625,0.5
406,0.667,0.636,0.714,0.625,0.5
407,0.696,0.667,0.667,0.652,0.519
408,0.682,0.737,0.65,0.636,0.5
409,0.682,0.737,0.65,0.636,0.5
410,0.677,0.516,0.481,0.724,0.786
411,0.7,0.533,0.5,0.75,0.815
412,0.7,0.533,0.5,0.75,0.815
413,0.7,0.533,0.5,0.75,0.815
414,0.531,0.467,0.432,0.621,0.679
415,0.531,0.467,0.432,0.621,0.679
416,0.5,0.37,0.292,0.481,0.481
417,0.5,0.37,0.304,0.481,0.481
418,0.536,0.407,0.348,0.519,0.52
419,0.208,0.211,0.211,0.333,0.16
420,0.167,0.158,0.167,0.19,0.167
421,0.167,0.158,0.167,0.188,0.12
422,0.652,0.545,0.619,0.48,0.433
423,0.625,0.577,0.667,0.52,0.464
424,0.625,0.577,0.667,0.52,0.464
425,0.609,0.571,0.571,0.565,0.5
426,0.667,0.632,0.632,0.619,0.542
427,0.516,0.556,0.458,0.5,0.5
428,0.548,0.593,0.44,0.533,0.483
429,0.567,0.68,0.458,0.5,0.5
430,0.533,0.577,0.478,0.52,0.519
431,0.586,0.64,0.458,0.52,0.577
432,0.552,0.667,0.478,0.483,0.538
433,0.536,0.52,0.391,0.45,0.407
434,0.704,0.64,0.591,0.524,0.464
435,0.586,0.519,0.4,0.524,0.414
436,0.481,0.458,0.381,0.444,0.346
437,0.458,0.458,0.381,0.529,0.458
438,0.348,0.375,0.3,0.412,0.32
439,0.333,0.316,0.389,0.467,0.24
440,Visited,0.68,0.636,0.625,0.607
441,0.7,Visited,0.538,0.633,0.633
442,0.69,Visited,0.583,0.621,0.571
443,0.69,Visited,0.583,0.621,0.571
444,0.69,Visited,0.583,0.621,0.621
445,0.538,0.5,0.522,0.607,0.552
446,0.5,0.522,0.478,0.517,0.571
447,0.5,0.464,0.478,0.517,0.517
448,0.643,0.64,0.478,0.571,0.519
449,0.643,0.64,0.478,0.517,0.467
450,0.643,0.64,0.478,0.517,0.467
451,0.533,0.64,0.478,0.467,0.467
452,0.7,0.704,0.481,0.633,0.586
453,0.7,0.704,0.481,0.633,0.586
454,0.724,0.731,0.5,0.6,0.552
455,0.724,0.731,0.5,0.6,0.552
456,0.667,0.667,0.568,0.656,0.559
457,0.636,0.633,0.545,0.625,0.559
458,0.643,0.6,0.523,0.552,0.545
459,0.667,0.621,0.535,0.63,0.594
460,0.6,0.636,0.522,0.625,0.533
461,0.429,0.391,0.389,0.438,0.391
462,0.379,0.381,0.4,0.407,0.407
463,0.379,0.381,0.4,0.407,0.407
464,0.594,0.533,0.444,0.531,0.533
465,0.6,0.636,0.591,0.667,0.615
466,0.538,0.565,0.522,0.552,0.552
467,0.579,0.54,0.48,0.611,0.571
468,0.688,0.531,0.447,0.677,0.75
469,0.688,0.531,0.447,0.677,0.75
470,0.677,0.519,0.435,0.667,0.679
471,0.677,0.519,0.435,0.667,0.679
472,0.571,0.538,0.481,0.581,0.581
473,0.571,0.545,0.481,0.633,0.586
474,0.517,0.444,0.375,0.5,0.625
475,0.4,0.321,0.292,0.556,0.423
476,0.419,0.345,0.32,0.429,0.483
477,0.417,0.333,0.421,0.423,0.417
478,0.417,0.5,0.526,0.444,0.444
479,0.435,0.4,0.556,0.462,0.458
480,0.417,0.429,0.429,0.5,0.44
481,0.435,0.45,0.45,0.524,0.458
482,0.435,0.45,0.45,0.455,0.4
483,0.435,0.526,0.45,0.455,0.407
484,0.435,0.45,0.45,0.455,0.4
485,0.516,0.615,0.44,0.444,0.452
486,0.533,0.577,0.458,0.52,0.519
487,0.533,0.577,0.458,0.524,0.464
488,0.586,0.577,0.458,0.462,0.464
489,0.406,0.478,0.435,0.423,0.379
490,0.167,0.158,0.167,0.267,0.12
491,0.462,0.357,0.333,0.414,0.52
492,0.462,0.357,0.333,0.381,0.462
493,0.462,0.357,0.333,0.414,0.52
494,0.621,0.75,0.636,0.552,0.556
495,0.625,0.783,0.667,0.571,0.577
496,0.5,0.609,0.55,0.474,0.423
497,0.576,0.567,0.519,0.515,0.471
498,0.567,0.615,0.522,0.56,0.556
499,0.548,0.593,0.542,0.484,0.483
500,0.529,0.533,0.535,0.471,0.429
501,0.633,0.571,0.465,0.567,0.571
502,0.633,0.571,0.465,0.567,0.571
503,0.69,0.63,0.52,0.567,0.517
504,0.576,0.516,0.467,0.562,0.515
505,0.576,0.516,0.519,0.562,0.515
506,0.545,0.484,0.444,0.531,0.531
507,0.586,0.667,0.545,0.583,0.63
508,0.607,0.619,0.571,0.609,0.593
509,0.607,0.619,0.571,0.682,0.63
510,0.607,0.619,0.571,0.609,0.593
511,0.609,0.65,0.6,0.714,0.625
512,0.606,0.655,0.5,0.5,0.545
513,0.625,0.621,0.519,0.562,0.515
514,0.625,0.621,0.519,0.562,0.515
515,0.625,0.621,0.535,0.515,0.515
516,0.609,0.5,0.455,0.636,0.56
517,0.636,0.524,0.476,0.706,0.52
518,0.783,0.654,0.542,0.769,0.704
519,0.783,0.654,0.542,0.769,0.704
520,0.818,0.68,0.565,0.773,0.667
521,0.818,0.68,0.565,0.696,0.667
522,0.6,0.565,0.591,0.667,0.607
523,0.565,0.6,0.632,0.591,0.52
524,0.565,0.684,0.632,0.522,0.577
525,0.565,0.6,0.632,0.522,0.519
526,0.565,0.6,0.632,0.522,0.519
527,0.56,0.591,0.667,0.63,0.517
528,0.583,0.619,0.619,0.542,0.536
529,0.645,0.704,0.538,0.633,0.581
530,0.677,0.808,0.467,0.613,0.613
531,0.677,0.741,0.519,0.667,0.567
532,0.6,0.72,0.5,0.533,0.533
533,0.621,0.68,0.522,0.607,0.556
534,0.645,0.643,0.538,0.536,0.533
535,0.677,0.741,0.519,0.667,0.567
536,0.64,0.654,0.542,0.619,0.536
537,0.571,0.56,0.5,0.556,0.56
538,0.571,0.56,0.5,0.615,0.625
539,0.571,0.56,0.5,0.556,0.56
540,0.565,0.583,0.524,0.611,0.52
541,0.536,0.52,0.524,0.526,0.52
542,0.522,0.542,0.55,0.6,0.542
543,0.522,0.542,0.55,0.647,0.481
544,0.486,0.515,0.468,0.514,0.472
545,0.273,0.333,0.353,0.421,0.308
546,0.227,0.353,0.375,0.368,0.269
547,0.227,0.353,0.375,0.3,0.231
548,0.227,0.353,0.375,0.3,0.231
549,0.227,0.353,0.375,0.333,0.231
550,0.167,0.158,0.222,0.188,0.12
551,0.167,0.158,0.167,0.188,0.12
552,0.167,0.158,0.167,0.19,0.167
553,0.167,0.158,0.167,0.267,0.12
554,0.167,0.158,0.167,0.188,0.12
555,0.167,0.158,0.167,0.188,0.12
556,0.727,0.739,0.619,0.654,0.6
557,0.762,0.696,0.571,0.714,0.696
558,0.762,0.696,0.571,0.714,0.696
559,0.261,0.278,0.294,0.333,0.208
560,0.261,0.278,0.294,0.333,0.208
561,0.167,0.158,0.167,0.19,0.167
562,0.677,0.621,0.435,0.613,0.567
563,0.677,0.621,0.435,0.613,0.567
564,0.7,0.643,0.444,0.581,0.533
565,0.5,0.522,0.526,0.462,0.458
566,0.5,0.522,0.526,0.524,0.522
567,0.5,0.591,0.526,0.462,0.462
568,0.524,0.478,0.5,0.55,0.545
569,0.579,0.604,0.574,0.487,0.553
570,0.667,0.5,0.568,0.559,0.636
571,0.52,0.462,0.333,0.464,0.583
572,0.52,0.462,0.357,0.45,0.52
573,0.625,0.568,0.571,0.613,0.594
574,0.625,0.533,0.61,0.562,0.562
575,0.167,0.158,0.167,0.188,0.12
576,0.167,0.158,0.222,0.188,0.12
577,0.167,0.158,0.167,0.19,0.167
578,0.545,0.565,0.45,0.571,0.565
579,0.565,Visited,0.55,0.591,0.519
580,0.64,0.682,0.542,0.704,0.643
581,0.64,0.682,0.542,0.704,0.643
582,0.64,0.682,0.542,0.643,0.643
583,0.64,0.682,0.542,0.643,0.643
584,0.793,0.741,0.577,0.562,0.562
585,0.767,0.714,0.5,0.645,0.6
586,0.793,0.741,0.519,0.613,0.567
587,0.793,0.741,0.519,0.613,0.567
588,0.759,0.704,0.481,0.633,0.643
589,0.759,0.704,0.512,0.581,0.586
590,0.759,0.704,0.512,0.581,0.586
591,0.667,0.667,0.545,0.483,0.481
592,0.607,0.667,0.619,0.542,0.538
593,0.4,0.346,0.318,0.529,0.458
594,0.167,0.158,0.167,0.19,0.167
595,0.167,0.158,0.167,0.19,0.167
596,0.167,0.158,0.167,0.19,0.167
597,0.167,0.158,0.167,0.19,0.167
598,0.167,0.158,0.167,0.188,0.12
599,0.167,0.158,0.167,0.267,0.12
600,0.167,0.158,0.167,0.267,0.12
601,0.167,0.158,0.167,0.267,0.12
602,0.455,0.474,0.5,0.55,0.545
603,0.455,0.474,0.5,0.476,0.478
604,0.429,0.444,0.529,0.526,0.455
605,0.6,0.593,0.542,0.484,0.483
606,0.296,0.348,0.364,0.308,0.321
607,0.296,0.348,0.364,0.308,0.321
608,0.286,0.353,0.375,0.368,0.318
609,0.677,0.621,0.571,0.613,0.562
610,0.733,0.621,0.5,0.667,0.613
611,0.724,0.607,0.488,0.655,0.548
612,0.69,0.571,0.465,0.621,0.567
613,0.759,0.704,0.548,0.75,0.633
614,0.724,0.667,0.524,0.714,0.6
615,0.6,0.714,0.636,0.56,0.5
616,0.625,0.75,0.591,0.652,0.519
617,0.417,0.579,0.429,0.435,0.444
618,0.375,0.45,0.381,0.455,0.458
619,0.261,0.316,0.333,0.273,0.292
620,0.458,0.632,0.55,0.481,0.481
621,0.478,0.579,0.579,0.571,0.444
622,0.478,0.579,0.579,0.5,0.444
623,0.478,0.579,0.579,0.5,0.444
624,0.478,0.579,0.579,0.5,0.444
625,0.417,0.5,0.5,0.5,0.393
626,0.417,0.5,0.5,0.444,0.393
627,0.417,0.5,0.5,0.5,0.393
628,0.417,0.5,0.5,0.444,0.393
629,0.417,0.5,0.5,0.444,0.393
630,0.167,0.158,0.167,0.19,0.167
631,0.167,0.158,0.167,0.267,0.12
632,0.167,0.158,0.167,0.188,0.12
633,0.256,0.42,0.417,0.3,0.3
634,0.348,0.316,0.316,0.467,0.409
