user,item,pred_rating
88733,375706771,10.0000
88733,375726403,10.0000
88733,380789035,10.0000
88733,385492081,10.0000
88733,399501487,10.0000
89602,312976275,9.0000
89602,345342968,9.0000
89602,439136350,9.0000
89602,316601950,8.3324
89602,156027321,8.0000
89602,312980140,8.0000
89602,345339681,8.0000
89602,380718340,8.0000
89602,439064872,8.0000
89602,439136369,8.0000
91113,014029628X,9.0000
91113,043935806X,9.0000
91113,1400031354,9.0000
91113,1558744150,9.0000
91113,316776963,9.0000
91113,345370775,9.0000
91113,345378490,9.0000
91113,380718340,9.0000
91113,385335482,9.0000
91113,440498058,9.0000
93047,059035342X,8.0000
93047,067976402X,8.0000
93047,1400031354,8.0000
93047,1400034779,8.0000
93047,140067477,8.0000
93047,312980140,8.0000
93047,345313860,8.0000
93047,345361792,8.0000
93047,345370775,8.0000
93047,345378490,8.0000
95359,1558744150,10.0000
95359,312983271,10.0000
95359,316776963,10.0000
95359,439136350,10.0000
95359,439136369,10.0000
95359,440224764,10.0000
95359,451167317,10.0000
95359,590353403,10.0000
95359,971880107,10.0000
95359,380018179,9.7858
95932,014028009X,8.0000
95932,014029628X,8.0000
95932,067976402X,8.0000
95932,140067477,8.0000
95932,156027321,8.0000
95932,345313860,8.0000
95932,345337662,8.0000
95932,380718340,8.0000
95932,385504209,8.0000
95932,439064864,8.0000
